"Carimbo de data/hora","1. Que a cozinha tenha máquinas capazes de cortar ou cozinhar alimentos automaticamente. ","2. Que a cozinha tenha mecanismos de auto limpeza.","3. Que os móveis/eletrodomêsticos da cozinha se ajustem para facilitar minhas tarefas.","4. Estimular o consumo dos alimentos dentro de suas datas de validade.","5. Existir um controle de estoque que atualize a lista de compras conforme o consumo.","6. Automatizar as compras da casa de acordo com a lista de compras.","7. Que cardápios sejam sugeridos com base em preferências, restrições alimentares (saúde), e com base nos estoques.","8. Que existam mecanismos que ajudem no gerenciamento de lixo e facilitem a reciclagem.","9. Que existam mecanismos que ajudem a economizar energia e água (mecanismos de sustentabilidade).","10. Que a cozinha seja capaz de ensinar técnicas de culinária, inclusive lembrando de técnicas utilizadas na própria cozinha.","Então: se acredita que faltou algo, coloque abaixo o que você gostaria de ver nessa lista."
"2018/06/27 7:57:55 PM GMT-3","Desnecessário","Boa ideia","Ótima ideia","Ótima ideia","Ótima ideia","Desnecessário","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia",""
"2018/06/27 9:19:55 PM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","OK","Eu gostaria de não precisar comer. Que a cozinha me desse uma barrinha que desse pra comer em 1 minuto e tivesse tudo que eu precisasse por horas. Comer outros tipos de comida (arroz, feijão etc.) deveria ser lazer, não necessidade."
"2018/06/28 9:25:14 AM GMT-3","Boa ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","OK",""
"2018/06/28 1:02:44 PM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima Ideia","Que a cozinha também interaja com os outros cômodos da casa e comunique possíveis alertas aos usuários. 
Exemplo: Se está com a temperatura acima do normal ou algo quase pronto para sair do forno, a cozinha inteligente emite um alerta ao cômodo onde está o morador ou dissemina a mensagem para telas em todos os outros cômodos informando um comportamento fora do normal."
"2018/06/28 9:43:28 PM GMT-3","Boa ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima Ideia","Mecanismos de segurança contra acidentes comuns em cozinhas, contra incêncios, contra esquecer alimentos com o forno / fogão ligado, contra escapamento de gás."
"2018/06/30 6:15:41 PM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia","Creio que pouco ajuda","Cozinha receba comando à distância para preparar refeições! A cozinha se comunique direto com o mercado enviando lista de compras sob demandas pré programadas. "
"2018/06/30 6:33:18 PM GMT-3","Boa ideia","Ótima ideia","Ótima ideia","Boa ideia","Boa ideia","Boa ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima Ideia",""
"2018/06/30 7:42:25 PM GMT-3","Desnecessário","OK","Desnecessário","Ótima ideia","Ótima ideia","OK","Ótima ideia","Boa ideia","Ótima ideia","Desnecessário",""
"2018/06/30 7:46:23 PM GMT-3","Ótima ideia","Creio que pouco ajuda","Creio que pouco ajuda","OK","Ótima ideia","Desnecessário","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia",""
"2018/06/30 8:37:08 PM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia",""
